,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,like,decision,match
0,female,21.0,27.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,1,0
1,female,21.0,22.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,7.0,8.0,7.0,8.0,5.0,6.0,7.0,1,0
3,female,21.0,23.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,1,1
4,female,21.0,24.0,Asian,Latino,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,1,1
5,female,21.0,25.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,0,0
6,female,21.0,30.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6.0,7.0,4.0,6.0,7.0,6.0,1,0
8,female,21.0,28.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6.0,8.0,9.0,8.0,8.0,7.0,1,1
9,female,21.0,24.0,Asian,European,0,2.0,4.0,Law,15.0,20.0,20.0,15.0,15.0,15.0,5.0,6.0,6.0,8.0,10.0,8.0,6.0,1,0
10,female,24.0,27.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,0,0
11,female,24.0,22.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,0,0
12,female,24.0,22.0,European,Asian,0,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,0,0
13,female,24.0,23.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,7.0,9.0,7.0,6.0,5.0,7.0,7.0,1,1
14,female,24.0,24.0,European,Latino,0,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,0,0
15,female,24.0,25.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,0,0
16,female,24.0,30.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,9.0,6.0,7.0,9.0,8.0,1,0
17,female,24.0,27.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,0,0
18,female,24.0,28.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,7.0,6.0,8.0,9.0,4.0,5.0,5.0,1,1
19,female,24.0,24.0,European,European,1,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,1,0
20,female,25.0,27.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,0,0
21,female,25.0,22.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,0,0
22,female,25.0,22.0,European,Asian,0,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,0,0
23,female,25.0,23.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,0,0
26,female,25.0,30.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,0,0
27,female,25.0,27.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,0,0
28,female,25.0,28.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,0
29,female,25.0,24.0,European,European,1,8.0,4.0,Economics,35.0,10.0,35.0,10.0,10.0,0.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,0,0
30,female,23.0,27.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,0,0
31,female,23.0,22.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,0,0
